acceleration_x,acceleration_y,acceleration_z,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11
0,0,0,0.125730217,-0.132104859,0.640422642,0.104900114,-0.535669386,0.361595064,1.30400002,0.94708097,-0.703735232,-1.26542151,-0.623274446,0.0413259789
1,0,0,-2.3250308,-0.218791664,-1.245911,-0.73226738,-0.544259012,-0.316300154,0.411630541,1.04251337,-0.12853466,1.36646342,-0.66519469,0.351510078
0.707106769,0.707106769,0,0.903470159,0.0940122977,-0.743499279,-0.921725392,-0.457725823,0.22019513,-1.00961816,-0.209175572,-0.159225017,0.540845573,0.214659125,0.355372697
-4.37113883e-08,1,0,-0.653828621,-0.129613638,0.783975482,1.49343109,-1.25906551,1.51392376,1.34587538,0.781311393,0.264455616,-0.313922822,1.45802069,1.96025836
-0.707106769,0.707106769,0,1.80163491,1.31510377,0.35738042,-1.20831859,-0.0044541331,0.656474948,-1.28836143,0.395122051,0.429863691,0.696042717,-1.18411791,-0.661702573
-1,-8.74227766e-08,0,-0.436435252,-1.16980195,1.73936784,-0.495910734,0.328969628,-0.258572549,1.58347285,1.32036102,0.633352637,-2.20350981,0.0520289727,0.683686197
-0.70710665,-0.707106888,0,1.00396156,-0.617907047,1.82201135,-1.32043099,-0.661528051,0.935050011,0.0490546152,2.00239253,0.188519195,-0.633194089,-0.377563506,-1.09114611
1.19248806e-08,-1,0,-1.27768016,0.630411506,0.581165791,1.29455876,-0.75460577,1.68910742,-0.287387699,1.57440829,-0.432785839,-0.735483289,0.249785379,1.03145313
0.707107008,-0.707106531,0,0.16100958,-0.585528851,-1.34121966,-1.40152025,0.502682865,0.989713013,-0.164294586,-1.0743649,0.873042166,-1.28039396,-0.713068068,0.621017873
2,0,0,-2.25014114,0.386369586,-0.58164084,0.1092797,-0.0757015273,0.202114388,0.694171965,-0.758369744,1.420982,0.726093769,0.843732655,1.16486394
1.41421354,1.41421354,0,0.787588239,0.84407866,0.0755936131,-1.42677391,-0.135045096,-0.76951462,-1.42274177,0.258452803,-0.568549454,-1.02980447,-1.04300106,0.26841709
-8.74227766e-08,2,0,0.358671963,1.32245743,-0.0139146689,1.04183972,1.40226483,1.15016568,-2.36530399,1.22868371,0.339619994,0.423771352,0.371227413,0.382757157
-1.41421354,1.41421354,0,0.319414228,-0.358913302,-1.90163529,-0.108914725,-0.803731859,1.08016336,-0.288766503,0.0834753588,-0.849605978,-0.510622442,-0.011533062,-1.48537517
-2,-1.74845553e-07,0,0.300685108,-0.106072254,-1.18571985,-2.39823294,0.513052106,-0.297584027,-0.530008435,-0.236154631,1.81647599,-0.0498009697,0.0866192654,-1.48707283
-1.4142133,-1.41421378,0,1.64733911,0.917487979,1.06693482,0.0476727299,0.916654766,0.370946825,0.613189101,-0.152192965,-1.47388792,1.02885437,-1.93495965,-0.239936665
2.38497613e-08,-2,0,-0.204522491,-1.04286015,0.613123119,-0.200329706,-0.43686834,0.519841731,-0.47657904,1.38898003,0.351455063,-0.474332988,-1.94426501,-1.30775321
1.41421402,-1.41421306,0,1.08683074,-0.050604064,-0.283125073,1.64325166,-1.28264928,-0.585657775,-0.472587675,0.586337268,-0.663535178,-0.613417864,-1.60514939,0.729349375
